Species,Country.of.Origin,Region,Producer,Number.of.Bags,In.Country.Partner,Harvest.Year,Grading.Date,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,"Tanzania, United Republic Of",ikand village,Tembo Coffee Company Ltd,10,Africa Fine Coffee Association,2014,"December 12th, 2014",Washed / Wet,7.75,7.42,7.33,7.5,7.58,7.5,10,10,10,7.5,82.58,0.12,1317,1317,1317
Arabica,Uganda,eastern,Sipi organic coffee project,1,Uganda Coffee Development Authority,2013,"June 30th, 2014",Natural / Dry,7.83,7.5,7.42,7.58,7.42,7.42,10,10,10,7.42,82.58,0.12,1400,1900,1650
Arabica,Costa Rica,central valley,VARIOS,250,Specialty Coffee Association of Costa Rica,2013,"May 9th, 2014",Washed / Wet,7.67,7.42,7.5,7.67,7,7.75,10,10,10,7.58,82.58,0.11,1200,1400,1300
Arabica,Colombia,huila,varios,250,Almcafe,2013,"April 16th, 2013",Washed / Wet,7.75,7.25,7.33,7.42,7.5,7.83,10,10,10,7.5,82.58,0.11,1750,1750,1750
Arabica,Colombia,huila,varios,250,Almcafe,2012,"October 9th, 2012",Washed / Wet,7.75,7.5,7.75,7.25,7.33,7.58,10,10,10,7.42,82.58,0.11,1750,1750,1750
Arabica,Mexico,oaxaca,GUILLERMO ROJAS SALDAÑA,50,AMECAFE,2012,"September 4th, 2012",Washed / Wet,7.5,7.58,7.5,7.5,7.42,7.5,10,10,10,7.58,82.58,0.1,1250,1250,1250
Arabica,Mexico,colima,FEDERICO ENCISO MICHEL; LEODAN ENCISO FIGUEROA; JAIME LOPEZ LOPEZ,70,AMECAFE,2012,"July 2nd, 2012",Washed / Wet,7.67,7.58,7.58,7.75,7.67,6.83,10,10,10,7.5,82.58,0.12,1150,1150,1150
Arabica,Colombia,huila,LA PLATA,275,Almcafe,2012,"June 13th, 2012",Washed / Wet,7.33,7.42,7.58,7.42,7.67,7.5,10,10,10,7.67,82.58,0.11,1600,1950,1775
Arabica,Indonesia,bali,vary,2,Specialty Coffee Association of Indonesia,2017,"September 4th, 2017",Washed / Wet,7.83,7.75,7.25,7.5,7.42,7.33,10,10,10,7.42,82.5,0.11,1250,1250,1250
Arabica,Honduras,comayagua,Nahun Maldonado,275,Instituto Hondureno del Cafe,2017,"June 3rd, 2017",Washed / Wet,7.58,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,82.5,0.1,1400,1400,1400
Arabica,Guatemala,oriente,MARGARITA AVILA DE NUYENS,50,Asociacion Nacional Del Café,2016,"March 16th, 2016",Washed / Wet,7.5,7.5,7.33,7.5,7.67,7.5,10,10,10,7.5,82.5,0.1,1219.2,1219.2,1219.2
Arabica,Thailand,thailand,Doi Tung Development Project,1,Specialty Coffee Association,2014,"June 9th, 2015",Washed / Wet,7.5,7.83,7.5,7.75,7.33,7.42,9.33,10,10,7.83,82.5,0.12,800,800,800
Arabica,Thailand,chiangrai,"Coffeas Co., Ltd.",50,Specialty Coffee Institute of Asia,2014,"February 15th, 2015",Washed / Wet,7.33,7.5,7.5,7.5,7.67,7.5,10,10,10,7.5,82.5,0.11,1400,1500,1450
Arabica,"Tanzania, United Republic Of",karatu arusha,Shah Plantations,37,Africa Fine Coffee Association,2014,"December 18th, 2014",Washed / Wet,7.67,7.42,7.33,7.58,7.5,7.5,10,10,10,7.5,82.5,0.12,1600,1600,1600
Arabica,Mexico,chiapas,Santiago & Rosaura Arguello Campos,2,Specialty Coffee Association,2013,"April 14th, 2014",Washed / Wet,7.42,7.58,7.5,7.67,7.25,7.5,10,10,10,7.58,82.5,0,1500,1700,1600
Arabica,Guatemala,oriente,"AGRICOLA MONTE VERDE, S.A.",250,Asociacion Nacional Del Café,2013,"May 30th, 2013",Washed / Wet,7.83,7.42,7.33,7.67,7.42,7.5,10,10,10,7.33,82.5,0.12,1310.64,1310.64,1310.64
Arabica,Guatemala,oriente,MARGARITA DE NUYENS,250,Asociacion Nacional Del Café,2013,"February 26th, 2013",Washed / Wet,7.83,7.67,7.17,7.33,7.5,7.67,10,10,10,7.33,82.5,0.11,1310.64,1310.64,1310.64
Arabica,Mexico,san bartolo tutotepec,"VELASCO SAN AGUSTIN, NAZARIO",10,AMECAFE,2012,"September 27th, 2012",Washed / Wet,7.5,7.58,7.5,7.5,7.42,7.42,10,10,10,7.58,82.5,0.13,1679,1679,1679
Arabica,Mexico,zapotitlan de mendez,ENRIQUE MITRE LOPEZ,10,AMECAFE,2012,"July 26th, 2012",Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.5,82.5,0.12,1100,1100,1100
Arabica,Mexico,la concordia,SUSANA LETICIA LOPEZ AGUILAR,28,AMECAFE,2012,"June 7th, 2012",Semi-washed / Semi-pulped,7.92,7.5,7.33,7.58,7.25,7.42,10,10,10,7.5,82.5,0.11,1650,1650,1650
Arabica,Brazil,carmo de minas,Nazareth Dias Pereira,300,NUCOFFEE,2012,"March 16th, 2012",Semi-washed / Semi-pulped,7.67,7.42,7.33,7.67,7.5,7.5,10,10,10,7.42,82.5,0,1250,1250,1250
Arabica,Colombia,huila,LA PLATA,275,Almcafe,2012,"March 5th, 2012",Washed / Wet,7.67,7.5,7.33,7.5,7.25,7.67,10,10,10,7.58,82.5,0.11,1600,1950,1775
Arabica,Honduras,"comayagua, honduras",Danilo Carrillo,1,Specialty Coffee Association,2017,"September 27th, 2017",Washed / Wet,7.42,7.67,7.17,7.58,7.58,7.5,10,10,10,7.5,82.42,0.12,1500,1500,1500
Arabica,Guatemala,san marcos,JORGE LEAL,50,Asociacion Nacional Del Café,2017,"September 8th, 2017",Washed / Wet,7.58,7.5,7.33,7.75,7.33,7.5,10,10,10,7.42,82.42,0.1,1700,1700,1700
Arabica,Guatemala,san marcos,ANGEL DE LEON,50,Asociacion Nacional Del Café,2016,"June 1st, 2017",Washed / Wet,7.67,7.58,7.25,7.67,7.42,7.33,10,10,10,7.5,82.42,0.12,1700,1700,1700
Arabica,Guatemala,el progreso,JESUS RAMIREZ,20,Asociacion Nacional Del Café,2017,"June 1st, 2017",Washed / Wet,7.58,7.5,7.25,7.67,7.5,7.5,10,10,10,7.42,82.42,0.12,157.8864,157.8864,157.8864
Arabica,China,yunnan,Menglian Gao Sanlin Coffee Factory,3,Yunnan Coffee Exchange,2015,"April 6th, 2016",Washed / Wet,7.67,7.42,7.42,7.5,7.42,7.42,10,10,10,7.58,82.42,0.1,1600,1600,1600
Arabica,Guatemala,atitlan,UNEX,250,Specialty Coffee Association of Costa Rica,2013,"December 18th, 2014",Washed / Wet,7.5,7.5,7.5,7.67,7.42,7.5,10,10,10,7.33,82.42,0.1,1400,1400,1400
Arabica,Mexico,la yerba,AVELINO CHAVEZ REYNA,10,AMECAFE,2014,"August 14th, 2014",Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.58,82.42,0.11,1296,1296,1296
Arabica,Brazil,south of minas,Betina Vilela Reis,39,NUCOFFEE,2012,"May 8th, 2014",Semi-washed / Semi-pulped,7.58,7.67,7.33,7.5,7.5,7.42,10,10,10,7.42,82.42,0.12,1000,1000,1000
Arabica,Mexico,veracruz,MANUEL HERRERA JUAREZ,10,AMECAFE,2013,"December 12th, 2013",Washed / Wet,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10,10,7.5,82.42,0.12,1170,1170,1170
Arabica,Mexico,san pedro cotzilnam,VICTOR MANUEL LOPEZ VAZQUEZ,20,AMECAFE,2012,"September 11th, 2012",Semi-washed / Semi-pulped,7.42,7.58,7.5,7.42,7.58,7.5,10,10,10,7.42,82.42,0.13,1400,1400,1400
Arabica,Mexico,coatepec,GIBRAN LEONARDO CERVANTES COVARRUBIAS,35,AMECAFE,2012,"September 10th, 2012",Washed / Wet,7.42,7.58,7.33,7.58,7.5,7.5,10,10,10,7.5,82.42,0.14,1300,1300,1300
Arabica,Mexico,xalapa,MANUEL HERRERA JUAREZ,10,AMECAFE,2012,"August 31st, 2012",Washed / Wet,7.75,7.33,7.25,7.58,7.58,7.33,10,10,10,7.58,82.42,0.13,1170,1170,1170
Arabica,Mexico,zihuatanejo de azueta,DARIO FRANCISCO GALEANA SOLIS,74,AMECAFE,2012,"July 25th, 2012",Washed / Wet,7.5,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,82.42,0.11,1300,1300,1300
Arabica,Mexico,veracruz,JOSE DANIEL COBILT CASTRO,26,AMECAFE,2012,"July 11th, 2012",Washed / Wet,7.58,7.58,7.17,7.5,7.5,7.5,10,10,10,7.58,82.42,0.14,1350,1350,1350
Arabica,Mexico,xicotepec de juarez,"ALVARO QUIROS PEREZ, MIGUEL QUIROZ PEREZ",10,AMECAFE,2012,"July 3rd, 2012",Washed / Wet,7.58,7.33,7.33,7.58,7.5,7.5,10,10,10,7.58,82.42,0.11,1150,1150,1150
Arabica,Mexico,progreso santa rosa teocelo,OLIVIA HERNANDEZ VIRVES,1,AMECAFE,2012,"June 6th, 2012",Washed / Wet,7.67,7.58,7.33,7.42,7.58,7.33,10,10,10,7.5,82.42,0.13,1250,1250,1250
Arabica,Mexico,fln mirador,ROBIN CLEAVER,10,AMECAFE,2012,"April 9th, 2012",Washed / Wet,7.83,7.5,7.42,7.67,7.17,7.33,10,10,10,7.5,82.42,0.12,1450,1450,1450
